lubelskie,Wojtal sp. z o.o.,Namysłowskiego,2A,22-400,Zamość,50.7263526,23.26678668153625,1
lubelskie,Wojtal Spółka z ograniczoną odpowiedzialnością,Rejowiecka,24,22-300,Krasnystaw,50.99398033675136,23.185973409602823,1
lubelskie,Art-Bet Wytwórnia Betonu,Grygowej,5a,20-260,Lublin,51.228236100000004,22.625198629162682,1
lubelskie,Kopalnia piasku Niedźwiada,,17,21-104,Niedźwiada-Kolonia,51.5349435,22.6897644,1
lubelskie,BOTIMEX - Hurtownia wierteł i narzędzi PROJAHN,Anny Walentynowicz,4,20-328,Lublin,51.2338599,22.6088232,1
lubelskie,BOTIMEX - Hurtownia wierteł i narzędzi PROJAHN,Anny Walentynowicz,4,20-328,Lublin,51.2338599,22.6088232,1
lubelskie,Zakpol Przedsiębiorstwo handlowo-usługowe s.c. Krzysztof i Marcin Zając,Hajdowska,19,20-231,Lublin,51.251628912861136,22.62501697523454,1
lubelskie,Wojtal Spółka z ograniczoną odpowiedzialnością,Rejowiecka,24,22-300,Krasnystaw,50.99398033675136,23.185973409602823,1
lubelskie,Rol-Mex Skład materiałów przemysłowych i rolniczych Marian Piotrowski,Bystrzyca Nowa,107,23-107,Bystrzyca Nowa,51.0660303,22.4426754,1
lubelskie,Cewar Więch Spółka Jawna,Pancerniaków,1B,20-331,Lublin,51.23399415,22.61204511476425,1
lubelskie,Cewar Więch Spółka Jawna,Pancerniaków,1B,20-331,Lublin,51.23399415,22.61204511476425,1
lubelskie,Szymar Kopalnia Piasku,Michałówka,1A,21-500,Michałówka,52.485039099999995,16.6475624926747,1
lubelskie,Krzysztof Robert Sadło PHU WIOL TRANS,Dąbie,175B,21-400,Dąbie,50.0594368,19.9791419,1
lubelskie,Trans - Bud Piasek,,20,21-530,Piszczac,51.9804862,23.3776226,1
mazowieckie,Stambet Bud sp.j.,Mostowa,10,05-825,Grodzisk Mazowiecki,52.11537,20.62669,1
mazowieckie,Betontrans Łukasz Spodek,Leśna,10,07-202,Wyszków,52.60663735,21.444743911288988,1
mazowieckie,Bet-Bud Betoniarnia,Repkowska,51d,08-300,Sokołów Podlaski,52.3986669,22.2698279,1
mazowieckie,Żwiro-Bet Włodzimierz Staszewski,,22,26-434,Zygmuntów,51.7908333,19.0927778,1
mazowieckie,Beton Sprzedaż i Transport Betonu Kaniewski Wojciech,Adamowicza,9,05-530,Góra Kalwaria,51.99214004455975,21.183171700183017,1
mazowieckie,Majrom Roman Majerkiewicz,Myśliborska,53,03-185,Warszawa Białołęka,52.311310500000005,20.966769812689883,1
mazowieckie,Sawo-Met Sp. z o.o.,Baletowa,4A,02-884,Warszawa Ursynów,52.121750199999994,21.01663249273554,1
mazowieckie,Taurus Mariusz Kaczmarski,Leszczynowa,41,03-197,Janki,52.123332838013205,20.900024151684455,1
mazowieckie,Intertrans Wiesław Pyszczek,Gołębiowska,39,26-600,Radom,51.4173207,21.1835048,1
mazowieckie,Wibet s.c. Zakład Obsługi Budownictwa Wilanowski S. Wilanowski E.,Wołodyjowskiego,25,07-300,Ostrów Mazowiecka,52.79035675,21.904681,1
mazowieckie,Sawo-Met Sp. z o.o. Sklep,Floriańska,57,08-110,Siedlce,52.16152485,22.284297336226945,1
mazowieckie,Jan Skolimowski Roboty ziemne,Kościuszki,26,08-109,Przesmyki,52.268457600000005,22.578524288656794,1
mazowieckie,Alkop Alicja Kępa,Mostowa,8,05-261,Nadma,52.36099605,21.174365184403225,1
mazowieckie,Margres Małgorzata Żaczek,Południowa,4,26-630,Jedlnia-Letnisko,51.42704,21.31684,1
mazowieckie,Margres Małgorzata Żaczek,Południowa,4,26-630,Jedlnia-Letnisko,51.42704,21.31684,1
mazowieckie,Prodbet Sp. z o. o. Wytwórnia betonu,Mirkowska,43b,05-520,Konstancin-Jeziorna,52.096089741975966,21.136491312306468,1
mazowieckie,Lech Trzos Zakład Betoniarski,Stalowa,2,05-170,Zakroczym,52.4390155,20.6175013,1
mazowieckie,Aldian – roboty drogowe,Aleja Legionów,14,08-400,Garwolin,51.888516300000006,21.621682870981886,1
mazowieckie,Complit Pphu Kamil Życiński,Cicha,26,27-300,Lipsko,51.159710691197844,21.648763223068652,1
mazowieckie,Solbud Przedsiębiorstwo produkcyjno usługowo handlowe Łukasz Stój,Augustów,15a,26-670,Augustów,50.9901957,15.3371541,1
małopolskie,Krzysztof Kuglin Betoniarnia Podolsze Budownictwo,Ekologiczna,4,32-640,Podolsze,50.02621,19.43937,1
małopolskie,Kopalnia Diabazu Niedźwiedzia Góra,,12,32-067,Tenczynek,50.1183988,19.6147916,1
małopolskie,Kopalnie porfiru i diabazu S. z o.o.,Kościuszki,10,32-065,Krzeszowice,50.1323161,19.628096637590012,1
małopolskie,Tomasz Mrózek Usługi Stolarskie,Jurków,189,34-643,Jurków,51.0366996,15.2338995,1
małopolskie,Kopalnia Porfiru Zalas,,43,32-067,Zalas,52.735,21.6255556,1
małopolskie,Bormann Expert Sp. z o.o.,Kornatka,271,32-410,Kornatka,51.020628005431014,21.090267623137695,1
małopolskie,Aris Fhu Dekoracyjne Wykończenia Wnętrz Katarzyna Litewka,Handlowców,12,32-085,Modlniczka,50.10550425,19.841556252174357,1
małopolskie,PPH Suprex,Kamieniec,1,34-441,Niedzica,49.406843578864944,20.297352769870642,1
małopolskie,Radbet Krechniak Spółka Komandytowa,Leśna,36,33-207,Radgoszcz,50.20144405,21.120130082956052,1
małopolskie,Europrofil Firma Handlowa Bernadeta Łozińska,Mostowa,21,33-100,Tarnów,50.00924805,20.997894422232143,1
małopolskie,Halbud Sala Józef,Bęczarka,232,32-444,Bęczarka,49.8749342,19.8615306,1
małopolskie,Grupa Chyżbet Sp. z o.o.,Chyżne,111,34-481,Chyżne,49.42575495,19.67527706194702,1
małopolskie,Krakcem Sp. z o.o. Sp. k.,Władysława Łokietka,177,31-263,Kraków Prądnik Biały,50.10002875,19.91300790165503,1
małopolskie,Trans-Camion Usługi Transportowe,Tokarnia,395,32-436,Tokarnia,49.735472,19.8752227,1
małopolskie,Graca Materiały Budowlane Sp.j. A. Graca E. Rybaczek-Graca M. Graca,Dworcowa,3,34-130,Kalwaria Zebrzydowska,49.871287949999996,19.68889792302063,1
małopolskie,Kruszywa,Krakowska,28,34-120,Andrychów,49.85773,19.36132,1
